2021-11-27 16:11:33.346 [main] INFO  paquetes.Message - Info: SE INICIA EJECUCION
2021-11-27 16:11:33.349 [main] INFO  paquetes.Message - Info: SE INSTANCIAN TODOS LOS PAISES SUDAMERICANOS Y SE COLOCAN EN UNA LISTA DE PAISES 
2021-11-27 16:11:54.404 [main] WARN  paquetes.Message - Advertencia: SE LEE Y CONVIERTE LO INGRESADO POR TECLADO A NUMERO
2021-11-27 16:11:54.405 [main] INFO  paquetes.Message - Info: SE FINALIZA EJECUCION
2021-11-27 16:12:14.658 [main] INFO  paquetes.Message - Info: SE INICIA EJECUCION
2021-11-27 16:12:14.660 [main] INFO  paquetes.Message - Info: SE INSTANCIAN TODOS LOS PAISES SUDAMERICANOS Y SE COLOCAN EN UNA LISTA DE PAISES 
2021-11-27 16:12:38.979 [main] WARN  paquetes.Message - Advertencia: SE LEE Y CONVIERTE LO INGRESADO POR TECLADO A NUMERO
2021-11-27 16:12:38.980 [main] INFO  paquetes.Message - Info: SE FINALIZA EJECUCION
2021-11-27 16:15:09.002 [main] INFO  paquetes.Message - Info: SE INICIA EJECUCION
2021-11-27 16:15:09.005 [main] INFO  paquetes.Message - Info: SE INSTANCIAN TODOS LOS PAISES SUDAMERICANOS Y SE COLOCAN EN UNA LISTA DE PAISES 
2021-11-27 16:15:15.636 [main] WARN  paquetes.Message - Advertencia: SE LEE Y CONVIERTE LO INGRESADO POR TECLADO A NUMERO
2021-11-27 16:15:15.637 [main] INFO  paquetes.Message - Info: SE FINALIZA EJECUCION
